record_id,user_id,training_status,link_clicked,phishing_reported
1,U001,Trained,Yes,No
2,U002,Trained,No,Yes
3,U003,Trained,No,Yes
4,U004,Trained,Yes,No
5,U005,Trained,No,Yes
6,U006,Trained,No,Yes
7,U007,Trained,No,Yes
8,U008,Trained,No,No
9,U009,Trained,No,No
10,U010,Trained,No,Yes
11,U011,Trained,No,Yes
12,U012,Trained,No,Yes
13,U013,Trained,No,No
14,U014,Trained,No,Yes
15,U015,Trained,No,No
16,U016,Trained,No,Yes
17,U017,Trained,No,No
18,U018,Trained,No,Yes
19,U019,Trained,No,Yes
20,U020,Trained,No,Yes
21,U021,Trained,Yes,No
22,U022,Trained,No,Yes
23,U023,Trained,No,No
24,U024,Trained,Yes,No
25,U025,Trained,No,Yes
26,U026,Trained,No,Yes
27,U027,Trained,No,No
28,U028,Trained,No,No
29,U029,Trained,No,Yes
30,U030,Trained,No,Yes
31,U031,Untrained,Yes,No
32,U032,Untrained,No,No
33,U033,Untrained,No,No
34,U034,Untrained,No,Yes
35,U035,Untrained,No,Yes
36,U036,Untrained,No,No
37,U037,Untrained,Yes,No
38,U038,Untrained,Yes,No
39,U039,Untrained,Yes,No
40,U040,Untrained,No,Yes
41,U041,Untrained,No,No
42,U042,Untrained,No,No
43,U043,Untrained,No,Yes
44,U044,Untrained,Yes,No
45,U045,Untrained,Yes,No
46,U046,Untrained,No,No
47,U047,Untrained,No,Yes
48,U048,Untrained,Yes,No
49,U049,Untrained,Yes,No
50,U050,Untrained,No,No
51,U051,Untrained,Yes,No
52,U052,Untrained,No,Yes
53,U053,Untrained,Yes,No
54,U054,Untrained,No,Yes
55,U055,Untrained,No,No
56,U056,Untrained,No,No
57,U057,Untrained,No,No
58,U058,Untrained,No,No
59,U059,Untrained,Yes,No
60,U060,Untrained,No,Yes
